Total-time,1,2,3,4,5,6,7,8,9,10,11,12
narv+marabou,28186.25716,36000,36000,285.10181,36000,8611.3536,11959.76078,36000,28016.29041,36000,36000,36000
marabou,36000,36000,36000,31234.17763,36000,12358.97214,12166.67355,36000,36000,36000,36000,36000
