Total-time,1,2,3,4,5,6,7,8,9,10,11,12
narv+planet,36000,36000,36000,325.93314,36000,36000,36000,36000,36000,36000,36000,36000
planet,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000
