,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Narv[P],,,,,,,,,,,,,,,,,,,,,,,,,
total-time,240.56049,81.69075,235.03629,104.48505,141.19352,197.96352,187.70628,209.04251,110.84671,13.34388,17.70765,62.12405,127.48611,116.24375,18.60705,15.69867,91.45645,91.47884,134.91647,192.23138,104.69354,209.79246,15.23108,14.69889,238.58108
query-time,54.24487877,8.718405724,48.17916393,5.408344507,10.46530652,40.7136519,17.79725695,79.79093933,21.26929283,0,0,3.091082811,15.67121339,8.268956661,0,0,8.671229601,20.84188724,58.90307212,16.52883124,6.210227013,18.49433947,,,48.245327
size,93,43,61,45,38,48,46,84,47,,,30,44,36,,,48,67,54,35,40,41,0,0,65
Planet,,,,,,,,,,,,,,,,,,,,,,,,,
total-time,832.13332,155.37448,794.21218,147.82624,555.29457,389.82934,290.97851,726.23685,571.2405,122.29165,119.64947,119.57348,127.33831,134.79155,162.99762,158.24565,267.53769,474.14917,804.28546,322.72226,129.62089,667.51876,147.73852,143.23998,794.93441
