,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Narv[M],,,,,,,,,,,,,,,,,,,,,,,,,
total-time,232.8972974,76.62816572,190.2368107,98.89414001,116.4237347,176.3287823,168.2507682,122.8636067,79.70592999,11.7335887,22.99248624,67.67948318,113.891248,98.5171771,19.5128901,20.61928082,90.18442845,74.7991209,73.62564564,142.9157093,109.3183074,190.3930871,13.77349973,15.74932504,160.6421859
query-time,86.63381338,0.213181734,11.1818707,0.208447218,0.186937809,0.319461584,0.761144638,5.866643906,0.516783714,0,0,0.127059937,0.161251783,0.185798645,0,0,0.179997921,0.980143309,2.157838345,0.386829853,0.150146246,0.432208538,0,0,5.563083172
size,113,43,61,45,38,48,46,84,47,,,30,44,36,,,48,67,54,35,40,41,,,65
Marabou,,,,,,,,,,,,,,,,,,,,,,,,,
total-time,474.73748,10.99126,75.40392,11.56065,44.49759,12.34476,17.97947,91.1538,29.32797,11.74098,11.33145,3.26112,11.53379,11.30067,11.45852,11.4398,11.10096,34.9194,149.32496,12.44397,11.85833,19.97774,11.41314,11.37152,406.14261
