,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Narv[M],,,,,,,,,,,,,,,,,,,,,,,,,
total-time,596.7735102177,112.2439510822,2308.1539189816,115.1257514954,383.9275343418,424.4889681339,315.9889286,277.0690147877,285.6185231209,116.8592662811,16.6548960209,107.4969146252,231.4285071,139.9099266529,251.9931969643,146.0721137524,105.0800487995,14815.9991154671,112.4719648361,412.9871468544,257.1982934475,1672.205124855,84.5716042519,136.1939067841,866.2227461338
qurey-time,318.93058228492737,4.887455701828003,1692.3979604244232,0.23838257789611816,208.16493201255798,182.66598653793335,167.3115435,2.6807191371917725,178.59573101997375,0.8542571067810059,0.0,0.20641613006591797,97.7445027,2.6456215381622314,2.167080879211426,0.36315298080444336,2.319184303,14487.85771,30.91625189781189,149.9894156,31.787419,"1,113.70",0.16535329818725586,0.3599371910095215,592.5070850849152
size,142,62,137,45,88,98,133,116,97,60,,40,158,49,85,46,77,125,78,110,69,100,33,45,121
Marabou,,,,,,,,,,,,,,,,,,,,,,,,,
total-time,36000,208.0423953533,36000,19.7041890621,2702.7909188271,4373.5533730984,3049.8047151566,17232.468941927,2876.6863882542,12.5878117085,12.3150858879,12.3969662189,1086.7256906033,17.3345777988,18.3538315296,19.8366456032,50.6513869762,31346.4590899944,3212.594422102,2386.380253315,87.2785027027,375.0952847004,10.7810668945,12.9237675667,36000
