,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Nar[P],,,,,,,,,,,,,,,,,,,,,,,,,
total-time,426.1176614761,152.2546644211,806.060423851,143.6056933403,221.2229952812,362.6198425293,277.8069393635,365.3583336,165.9031569958,112.6759929657,16.1206083298,125.606675148,215.5648856163,182.2211127281,357.0115487576,152.2044186592,150.9087297916,383.7784192562,167.5581452847,379.5123929977,214.8328566551,351.9263927937,112.8105809689,192.4978826046,452.541349411
query-time,152.0473325252533,44.49328851699829,174.78623867034912,16.35767936706543,46.02060627937317,128.85296201705933,44.93406581878662,75.08312392,80.46357321739197,20.597881317138672,0.0,16.61563205718994,41.106515645980835,33.76413655281067,50.64232158660889,12.294427633285522,49.05960536003113,62.86973571777344,70.29989075660706,79.57960247993469,34.70789337158203,51.09248161315918,4.462271451950073,5.5506181716918945,121.43433403968811
size,142,62,137,45,88,98,84,116,75,50,,40,80,49,85,46,77,87,78,110,65,78,33,45,121
Planet,,,,,,,,,,,,,,,,,,,,,,,,,
total-time,1129.7501704693,1126.7772490978,1205.4327504635,311.7857441902,757.9752688408,6630.5547971725,1470.2627980709,1917.8530714512,1048.4254329205,240.126083374,128.1045529842,253.9034688473,844.4333086014,582.8585543633,645.0213685036,159.8424868584,693.0543169975,1006.9139449596,968.8877091408,1998.3544979095,964.0168528557,3835.9307260513,147.1280832291,139.3824524879,1351.3900773525
