,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Narv[M],,,,,,,,,,,,,,,,,,,,,,,,,
total-time,48.6599595547,324.7285952568,1120.595978,271.991600275,2104.2433595657,931.8317058,,419.4823150635,228.7809426785,298.3440589905,161.498468399,141.8899049759,331.374478817,234.2902367115,9148.8693590164,215.2430963516,237.7927269936,18847.0347149372,40.7826166153,6032.7649848461,1711.2186117172,4697.1112310886,63.8918821812,347.5815279484,11033.2125456333
query-time,0.0,117.7510974407196,5.795480728,97.84423565864563,1797.9763369560242,341.896415,,5.012934,26.573021173477173,,0.24178767204284668,2.3932785987854004,,0.4782373905181885,8463.235094308853,20.94513702392578,82.89093589782715,"18,204.97",0.0,"5,672.62","1,375.76","4,311.60",0.49722886085510254,0.29468846321105957,10757.460179567337
size,320,77,335,91,158,244,,239,146,86,38,50,161,41,131,66,108,237,210,161,234,119,51,45,209
Marabou,,,,,,,,,,,,,,,,,,,,,,,,,
total-time,8675.2105958462,36000,65.4889066219,36000,36000,35394.515860796,,36000,1574.879860878,12.5916302204,58.9331128597,4812.4847373962,106.1796705723,1045.3573796749,125.3512723446,419.0999071598,36000,24397.6675488949,36000,8620.0115296841,36000,16.3170697689,198.2135820389,36000,36000
