,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Nar[P],,,,,,,,,,,,,,,,,,,,,,,,,
total-time,47.7475192547,373.2415654659,2154.5503828526,205.4711301327,397.9441280365,1225.2681741714,338.3254747391,533.1504178047,287.9457952976,196.5679228306,157.6743466854,170.0906379223,225.9722468853,259.4925498962,966.8533923626,250.2658352852,258.7675616741,713.4472539425,54.6245117188,526.998963356,342.7457587719,561.0978491306,105.2496247292,488.5021350384,511.6067943573
query-time,0.0,164.52136421203613,835.7315611839294,55.503193378448486,131.57339525222778,402.54069805145264,48.3877387046814,92.33956408500671,110.38704752922058,29.33819055557251,5.253284692764282,25.062312602996826,35.826159954071045,17.319981575012207,288.27566266059875,64.27512240409851,101.48293685913086,104.17239475250244,0.0,55.26943349838257,60.640856981277466,113.11022686958313,15.788209915161133,17.075051069259644,189.06135725975037
size,320,77,402,91,158,214,108,160,146,83,38,50,83,41,131,66,108,130,210,95,127,117,51,45,239
Planet,,,,,,,,,,,,,,,,,,,,,,,,,
total-time,995.3557252884,819.2135517597,1736.4243378639,826.853676796,1075.3788495064,3071.9768159389,798.5862755775,957.5560665131,926.8392574787,728.1932368279,141.0581643581,675.252045393,714.2904348373,1066.4509391785,5208.3084688187,711.5037102699,1177.934261322,845.8790023327,656.2063069344,802.679271698,632.6819922924,1608.3862376213,314.4276742935,1066.8967227936,1020.8071086407
