Total-time,1,2,3,4,5,6,7,8,9,10,11,12
narv+planet,561.12465,36000,36000,720.52135,36000,36000,36000,386.12441,36000,36000,36000,36000
planet,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000
