Total-time,1,2,3,4,5,6,7,8,9,10,11,12
narv+marabou,551.06683,20586.37962,19827.23388,340.44073,28332.44518,6458.32078,24909.13654,386.77696,8101.35008,27296.85207,12699.70436,16388.14332
marabou,17238.11397,36000,36000,15902.97798,32957.42804,5453.62217,9839.21526,29010.59506,12274.84406,36000,19495.37854,21038.29446
