property_id,abstract_time,total_time,size,1_1
0,18.6614431,1610.632574,910,
1,18.60124968,1640.617727,876,
2,17.7632744,1746.376167,826,
3,15.24218324,1573.439548,910,
4,15.29312299,1673.567991,910,
5,15.19373381,1118.135266,910,
6,15.98690228,1483.019408,910,
7,18.80937972,1817.275699,843,
8,13.10714792,1589.942269,742,
9,16.68051208,1930.785993,910,
10,21.31629234,552.1935051,832,
11,16.3562349,1947.518016,910,
12,14.65627064,19.88599999,675,
13,14.54360035,793.7721811,910,
14,14.56403402,526.1753282,888,
15,16.64924513,1334.263938,898,
16,13.29786894,23.09601445,789,
17,17.56983303,975.5117844,910,
18,12.83209327,1599.762086,910,
19,20.40121829,591.3260949,890,
property_id,abstract_time,total_time,size,1_2
0,17.14847318,1901.215967,900,
1,19.19775068,908.2547801,875,
2,17.32210894,1978.542254,889,
3,20.1631909,2074.673982,910,
4,14.13585169,22.08921364,788,
5,19.09687135,613.5937662,910,
6,15.14370615,1446.055313,684,
7,16.36678956,522.6907935,910,
8,15.43426844,1087.30003,811,
9,16.49277592,1738.206733,910,
10,16.4064175,1300.125089,844,
11,18.67637634,578.4307071,910,
12,23.69963386,607.1221344,910,
13,17.19164549,22.69119034,782,
14,12.23077505,1275.965378,881,
15,20.13313717,1587.553245,788,
16,8.328228496,884.3191426,859,
17,14.43224225,908.1073466,910,
18,13.21658027,57.32794741,749,
19,12.21725456,1664.833675,849,
property_id,abstract_time,total_time,size,1_3
0,13.53079943,37.66038485,673,
1,11.86631871,961.9136125,809,
2,14.47493512,1531.668345,910,
3,18.79365567,1658.735711,910,
4,13.64657966,1828.163482,783,
5,16.5507924,1500.393285,910,
6,18.53643385,1333.903722,910,
7,8.738433613,1604.409575,880,
8,13.24115553,1408.288701,910,
9,17.81317578,1402.781314,910,
10,11.84702774,1802.238967,875,
11,12.40264063,1871.697181,627,
12,15.39542271,1373.830963,910,
13,20.34546376,1818.591683,806,
14,12.2274559,1717.890441,910,
15,14.47800766,1756.347273,873,
16,18.33723725,1731.02922,885,
17,15.38934407,1773.834765,689,
18,11.85745507,1665.598724,893,
19,14.46512251,1455.473757,848,
property_id,abstract_time,total_time,size,1_4
0,16.03091877,1780.755751,910,
1,13.66966296,1154.476268,910,
2,18.4674996,1542.212713,806,
3,21.85284079,560.1978559,910,
4,14.30018389,1220.762498,859,
5,18.00582085,23.75515677,681,
6,18.30811675,562.1193738,910,
7,17.20274534,1884.851238,813,
8,16.25882084,1609.951218,910,
9,15.36475233,1075.146414,861,
10,16.17526231,1335.092817,863,
11,13.43975579,1899.616999,819,
12,13.61126089,18.59353372,767,
13,14.81635842,1385.610896,910,
14,14.36707904,1444.294546,910,
15,14.15503797,1949.870468,910,
16,16.56572103,1599.574776,910,
17,17.63509787,1809.43802,857,
18,20.58422608,604.2602607,910,
19,15.23641813,1549.127124,910,
property_id,abstract_time,total_time,size,1_5
0,11.30831746,1966.676229,910,
1,20.99226965,1930.84059,872,
2,15.86886888,1619.198766,864,
3,16.65986383,1867.578637,890,
4,19.92130333,34.08519596,741,
5,12.78681073,1298.458959,858,
6,11.12573573,992.3048279,910,
7,20.13032697,1391.381481,910,
8,21.00504696,34.22488176,724,
9,15.62024611,1686.973011,910,
10,25.28956413,517.7334678,865,
11,14.08961758,1311.839533,910,
12,12.56791945,1147.605529,910,
13,10.54930824,12.29851456,784,
14,12.69339195,1288.064832,812,
15,15.41517706,2798.222226,910,
16,14.69951923,23.54735272,750,
17,19.57941263,1498.145613,826,
18,16.16893967,1464.131554,910,
19,19.12115413,1418.805277,910,
property_id,abstract_time,total_time,size,1_6
0,16.97803485,534.4559365,818,
1,13.10328717,965.6877223,872,
2,14.28847007,1623.466963,910,
3,16.68920561,1334.660531,795,
4,19.51608527,1333.010249,836,
5,14.71733705,1731.540015,910,
6,20.25062744,609.2757391,910,
7,14.95975675,1648.517841,830,
8,15.74672113,1313.90031,910,
9,17.16637551,22.2132418,797,
10,13.68553579,1687.847727,910,
11,15.32184456,1421.744268,716,
12,12.16948307,1182.095189,801,
13,13.12031232,1075.780284,910,
14,14.85626876,1760.402335,869,
15,14.17689743,1338.190189,843,
16,15.76891582,1094.662105,839,
17,14.54342852,504.6656349,910,
18,19.24727487,503.9783538,910,
19,13.51069457,1395.431471,883,
property_id,abstract_time,total_time,size,1_7
0,11.31856064,13.93019377,72,
