property_id,abstract_time,total_time,size,1_1
property_id,abstract_time,total_time,size,2_3
0,,3600,,
1,0,1.172922373,310,
2,0,1.094883442,310,
3,2.082712889,11.84877348,161,
4,0,1.508675337,310,
5,0,1.274410725,310,
6,0,1.215224504,310,
7,0,0.987004519,310,
8,0,1.12907505,310,
9,2.020317554,2.076105833,95,
10,0,1.443521261,310,
11,0,1.072804451,310,
12,0,1.085600138,310,
13,0,1.008345604,310,
14,,3600,,
15,0,1.070159912,310,
16,0,1.519785166,310,
17,0,1.240570307,310,
18,0,1.205869913,310,
19,0,1.006921053,310,
property_id,abstract_time,total_time,size,2_4
0,0,1.485272408,310,
1,0,1.311347961,310,
2,1.52080965,1.632481575,103,
3,1.79585743,1.889770269,100,
4,0,1.121646643,310,
5,0,1.089686155,310,
6,0,1.442929983,310,
7,1.615088463,1.643460751,107,
8,0,1.25568676,310,
9,0,1.168891907,310,
10,0,1.176594496,310,
11,0,0.987370253,310,
12,0,1.076047897,310,
13,0,1.288960457,310,
14,0,0.977023602,310,
15,0,0.940781116,310,
16,0,1.014927626,310,
17,0,1.535089731,310,
18,0,1.115289927,310,
19,0,1.126972437,310,
property_id,abstract_time,total_time,size,2_5
0,1.67478466,7.208224535,157,
1,0,1.265120268,310,
2,1.794537544,1.859342337,102,
3,1.97777462,7.567893028,176,
4,0,1.248191357,310,
5,0,1.208507538,310,
6,0,1.161864281,310,
7,0,0.962125778,310,
8,0,0.999193668,310,
9,0,1.044832706,310,
10,0,1.638814449,310,
11,0,0.907619476,310,
12,0,0.883247614,310,
13,0,0.903413057,310,
14,1.573491335,1.698535681,132,
15,1.362584591,1.511061907,127,
16,0,0.980316401,310,
17,0,1.011730433,310,
18,0,1.071689844,310,
19,0,1.147832155,310,
property_id,abstract_time,total_time,size,2_6
0,1.988515615,2.76759696,119,
1,0,1.23656249,310,
2,0,1.347596884,310,
3,2.251762867,4.260380745,130,
4,0,1.26548171,310,
5,0,1.977390528,310,
6,0,1.401029348,310,
7,1.859588861,2.045149326,113,
8,0,1.240241766,310,
9,0,1.086861134,310,
10,0,1.327753067,310,
11,0,1.323182344,310,
12,0,1.194238186,310,
13,0,0.999710321,310,
14,1.770913839,4.449239969,138,
15,2.036297083,9.150968075,155,
16,0,1.20744133,310,
17,0,1.322584629,310,
18,0,1.266714811,310,
19,0,1.500209808,310,
property_id,abstract_time,total_time,size,2_7
0,2.478144884,8.011338711,177,
1,0,1.370962858,310,
2,0,1.206673145,310,
3,1.942788363,2.178188801,107,
4,0,1.416116476,310,
5,0,1.344189167,310,
6,0,1.495423317,310,
7,0,1.250191927,310,
8,0,1.385886908,310,
9,,3600,,
10,0,1.358361721,310,
11,0,1.400331497,310,
12,0,1.373095512,310,
13,0,1.303206682,310,
14,2.245492935,2.313769341,108,
15,2.44920826,3.33959341,160,
16,0,1.446620941,310,
17,0,1.514241934,310,
18,0,1.31657815,310,
19,0,1.401380062,310,
property_id,abstract_time,total_time,size,2_8
0,0,1.158192396,310,
1,0,1.322194815,310,
2,0,1.132641554,310,
3,2.673396587,37.15667295,183,
4,0,1.166806698,310,
5,2.445037603,2.790847778,145,
6,0,1.370277643,310,
7,0,1.282589436,310,
8,0,1.449620485,310,
9,0,0.960048437,310,
10,0,1.116272211,310,
11,0,1.25042367,310,
12,0,1.182326317,310,
13,0,1.170192242,310,
14,0,1.083930731,310,
15,4.230224133,41.42956209,252,
16,0,1.224006891,310,
17,0,1.215395689,310,
18,0,1.237681627,310,
19,0,1.341560364,310,
property_id,abstract_time,total_time,size,2_9
0,0,1.037895679,310,
1,0,1.037255526,310,
2,0,1.228168249,310,
3,1.852566004,19.71474242,171,
4,0,0.982063532,310,
5,0,1.111076593,310,
6,0,1.053360224,310,
7,0,1.043208361,310,
8,0,1.338525534,310,
9,,3600,,
10,0,1.25574851,310,
11,0,1.083884954,310,
12,0,1.196295261,310,
13,0,0.943934917,310,
14,0,1.16414094,310,
15,0,1.108261347,310,
16,0,1.264020443,310,
17,0,0.926520586,310,
18,0,1.061646938,310,
19,0,1.27827549,310,
property_id,abstract_time,total_time,size,3_1
0,0,0.899317026,310,
1,0,0.907892704,310,
2,0,0.762198448,310,
3,0,0.978482008,310,
4,0,0.858979464,310,
5,0,0.848942518,310,
6,0,0.908742666,310,
7,0,0.92331934,310,
8,0,0.801340103,310,
9,0,0.866114616,310,
10,0,0.922090292,310,
11,0,0.73461175,310,
12,0,0.713919401,310,
13,0,0.922459126,310,
14,0,0.841244221,310,
15,1.493355751,1.564574242,99,
16,0,0.9935956,310,
17,0,1.020799875,310,
18,0,1.38741231,310,
19,0,0.762545586,310,
property_id,abstract_time,total_time,size,3_2
0,0,1.223896027,310,
1,0,1.211151838,310,
2,0,1.382413864,310,
3,2.356460333,2.899123907,149,
4,0,1.218038559,310,
5,0,1.346365213,310,
6,0,1.089810133,310,
7,0,1.290422201,310,
8,0,1.250977278,310,
9,1.693630457,1.782691956,99,
10,0,1.462009907,310,
11,0,1.394868374,310,
12,0,1.354158878,310,
13,0,1.190940857,310,
14,1.92259264,2.343942642,127,
15,1.725440502,1.755859375,108,
16,0,1.104387283,310,
17,0,1.099566936,310,
18,0,1.252385378,310,
19,0,1.239623785,310,
property_id,abstract_time,total_time,size,3_3
0,0,0.997974157,310,
1,0,0.965013027,310,
2,0,0.925539017,310,
3,0,1.164613247,310,
4,0,0.848241568,310,
5,0,0.904326677,310,
6,0,0.996029854,310,
7,0,0.823905945,310,
8,0,1.005967855,310,
9,0,0.88149786,310,
10,0,0.970802784,310,
11,0,0.875649691,310,
12,0,0.893316746,310,
13,0,0.715096235,310,
14,0,0.725592852,310,
15,0,0.874991655,310,
16,0,0.781754732,310,
17,0,1.01849699,310,
18,0,0.92500329,310,
19,0,0.893039942,310,
property_id,abstract_time,total_time,size,3_4
0,2.612447262,3.51116848,133,
1,0,1.21488452,310,
2,0,1.018376112,310,
3,0,1.325683594,208,
4,0,1.064831734,310,
5,0,1.117451191,310,
6,0,1.20755887,310,
7,0,1.034912825,310,
8,0,1.038604975,310,
9,0,0.946378231,310,
10,0,1.082369566,310,
11,0,1.038573265,310,
12,0,1.041006565,310,
13,1.289402962,1.365699291,97,
14,0,1.013796806,310,
15,1.564109087,1.612676382,93,
16,0,1.121230364,310,
17,0,1.185521841,310,
18,0,1.106353283,310,
19,0,1.134158134,310,
property_id,abstract_time,total_time,size,3_5
0,1.341601133,1.495498896,96,
1,0,1.044352531,310,
2,0,0.770934582,310,
3,1.530434132,1.753667831,117,
4,0,1.062487841,310,
5,0,0.880934238,310,
6,0,0.982521057,310,
7,0,0.904312849,310,
8,0,0.826494455,310,
9,1.476231337,1.855391264,120,
10,0,0.871459723,310,
11,0,0.745617151,310,
12,0,0.860311747,310,
13,0,0.792230844,310,
14,1.82711935,1.991859674,119,
15,0,1.087768555,310,
16,0,1.147826433,310,
17,0,0.950509787,310,
18,0,1.139570475,310,
19,0,0.745954037,310,
property_id,abstract_time,total_time,size,3_6
0,2.083093882,2.49785924,142,
1,0,1.087521315,310,
2,0,1.111180067,310,
3,2.610357523,90.52428269,187,
4,0,1.134959459,310,
5,1.746910095,1.896777153,118,
6,0,1.064605474,310,
7,0,1.149523735,310,
8,0,1.428458452,310,
9,0,0.940437317,310,
10,0,1.220350027,310,
11,0,1.118687153,310,
12,0,1.087872267,310,
13,1.770177126,1.994112492,135,
14,2.035081387,3.232812881,115,
15,0,0.978592157,310,
16,0,0.976463318,310,
17,0,1.069622755,310,
18,0,1.038928986,310,
19,0,1.095751286,310,
property_id,abstract_time,total_time,size,3_7
0,0,0.985131264,310,
1,0,0.947819233,310,
2,0,1.042700768,310,
3,2.353073835,14.45455098,170,
4,0,0.943287373,310,
5,0,1.041665316,310,
6,0,1.03779459,310,
7,1.791124344,1.891824007,109,
8,0,1.034795046,310,
9,,3600,,
10,0,1.09098506,310,
11,0,1.171221018,310,
12,0,1.086549044,310,
13,0,1.016475439,310,
14,0,0.953971863,310,
15,0,0.979568243,310,
16,0,1.079164743,310,
17,0,0.971135855,310,
18,0,0.919022322,310,
19,0,1.136635065,310,
property_id,abstract_time,total_time,size,3_8
0,0,0.923101664,310,
1,0,1.215210438,310,
2,0,1.270976067,310,
3,2.061887741,15.8804574,162,
4,0,0.966694117,310,
5,0,1.061169863,310,
6,0,1.112484455,310,
7,0,0.919388294,310,
8,0,1.097717285,310,
9,2.437288284,4.544548512,170,
10,0,1.098219633,310,
11,0,1.031840086,310,
12,0,1.064978361,310,
13,0,0.875280142,310,
14,1.498056412,1.609271049,99,
15,1.945598364,14.2331171,158,
16,0,1.073863268,310,
17,0,1.132324219,310,
18,0,0.97378397,310,
19,0,1.188044548,310,
property_id,abstract_time,total_time,size,3_9
0,1.363557577,1.435297489,95,
1,0,1.092675686,310,
2,1.89641571,2.08661747,134,
3,1.52805233,3.490790367,113,
4,0,0.777728796,310,
5,0,0.948531151,310,
6,0,1.047340393,310,
7,0,0.992919445,310,
8,0,0.903339386,310,
9,1.485447645,1.634111643,96,
10,1.38365531,1.429866314,85,
11,0,0.998584747,310,
12,0,0.918657541,310,
13,0,0.820524931,310,
14,0,0.761837244,310,
15,2.003860712,19.00599837,156,
16,0,0.955049753,310,
17,0,1.029859066,310,
18,0,0.824550867,310,
19,0,0.866939068,310,
property_id,abstract_time,total_time,size,4_1
0,1.478682041,1.843059301,124,
1,0,1.251151085,310,
2,0,1.075443268,310,
3,1.900844574,3.56035471,154,
4,1.75591898,2.376378059,126,
5,0,1.324180365,310,
6,0,1.333934069,310,
7,2.457809448,2.531634569,93,
8,0,1.20676136,310,
9,1.898635387,2.031503439,106,
10,0,1.173676729,310,
11,0,1.270546913,310,
12,0,1.393135071,310,
13,0,1.262444258,310,
14,0,1.526137829,310,
15,1.814374685,2.119557619,123,
16,0,1.370224714,310,
17,1.805142403,1.83137536,105,
18,0,1.263884068,310,
19,0,1.147792101,310,
property_id,abstract_time,total_time,size,4_2
0,0,1.003010035,310,
1,0,1.033272028,310,
2,0,1.060307264,310,
3,2.285833359,10.75589871,158,
4,1.523977041,1.604870558,87,
5,0,1.054382563,310,
6,0,1.194159746,310,
7,1.59394908,1.683583021,99,
8,1.334233761,1.377340078,81,
9,0,0.923315525,310,
10,1.574535847,1.641120911,92,
11,0,1.166849136,310,
12,0,1.06735158,310,
13,0,1.007158756,310,
14,0,0.950300694,310,
15,1.591248512,2.706010818,126,
16,0,1.019318819,310,
17,1.255638838,1.310216427,88,
18,1.370388031,1.44909811,84,
19,1.456376314,1.509548187,81,
property_id,abstract_time,total_time,size,4_3
0,0,0.954532146,310,
1,0,0.970870256,310,
2,0,1.074510336,310,
3,1.457264423,2.623960733,109,
4,0,1.030421257,310,
5,0,1.053723812,310,
6,0,1.073961496,310,
7,,3600,,
8,0,1.23436451,310,
9,1.937286854,2.024166346,95,
10,0,1.070818901,310,
11,0,1.124406099,310,
12,0,1.189436436,310,
13,0,1.109318733,310,
14,0,0.978790283,310,
15,0,1.203204155,310,
16,0,1.234691858,310,
17,0,1.030589581,310,
18,0,1.072919846,310,
19,0,1.096524239,310,
property_id,abstract_time,total_time,size,4_4
0,1.874811888,1.994163036,116,
1,0,1.457633495,310,
2,0,1.053995848,310,
3,1.501976013,1.677007198,109,
4,0,0.984255314,310,
5,0,1.120884418,310,
6,0,1.269925356,310,
7,0,0.929358482,310,
8,0,1.022323847,310,
9,1.675919533,2.139012098,118,
10,0,1.121771812,310,
11,0,1.043690681,310,
12,0,1.106418371,310,
13,0,1.010905266,310,
14,0,0.918157101,310,
15,1.499061108,1.606745243,99,
16,0,1.066608667,310,
17,0,1.110940218,310,
18,0,1.109828234,310,
