Total-time,1,2,3,4,5,6,7,8,9,10,11,12
narv+marabou,411.41874,322.20885,36000,315.81084,317.05717,403.64632,36000,327.22393,313.66708,36000,36000,36000
marabou,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000
