Total-time,1,2,3,4,5,6,7,8,9,10,11,12
narv+planet,480.16652,386.07383,36000,400.38029,36000,569.15874,36000,36000,413.14215,36000,36000,36000
planet,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000
