property_id,abstract_time,total_time,size,1_1
0,53.16368914,71.04666328,710,
1,52.55442429,881.6349845,910,
2,47.49174857,48.5692997,710,
3,47.11675668,919.6890333,910,
4,47.99995351,49.10858369,710,
5,53.13911581,886.4583476,910,
6,49.44374537,868.3449903,910,
7,47.24446177,63.68527985,710,
8,47.20262361,63.77265692,710,
9,48.51497364,49.64083147,710,
10,53.37863207,54.67324567,710,
11,52.98609352,866.6852427,910,
12,48.18469501,866.8846505,910,
13,47.48083186,48.5826745,710,
14,47.25356817,830.6972222,910,
15,53.22398996,71.24185133,710,
16,52.05278826,53.2170701,710,
17,51.05389428,68.3166821,710,
18,52.25925636,883.3779898,910,
19,47.61635327,858.3930306,910,
property_id,abstract_time,total_time,size,1_2
0,46.91295099,48.01370001,710,
1,49.25676799,65.78314662,710,
2,47.96999907,49.12808418,710,
3,47.20630383,48.28742003,710,
4,48.11560273,49.22250462,710,
5,47.67077112,64.17887402,710,
6,47.86626577,64.42597651,710,
7,48.71033311,2216.281731,909,
8,45.27680373,847.8089604,910,
9,46.49216747,47.59759712,710,
10,44.61805081,3500.282874,910,
11,46.13752317,827.0298934,910,
12,45.10631585,961.9259009,910,
13,47.07464409,848.3418715,910,
14,44.80945396,835.0384068,910,
15,47.31504297,48.45853519,710,
16,47.89290547,48.96601701,710,
17,48.74140358,880.6213448,910,
18,46.0134809,47.07997727,710,
19,44.93901372,857.3393621,910,
property_id,abstract_time,total_time,size,1_3
0,46.99191666,894.0369766,910,
1,45.70458531,844.7374322,908,
2,48.71856809,863.0069964,910,
3,,3600,,
4,46.55267024,932.1662836,910,
5,48.22996545,861.1427794,908,
6,46.51281452,838.2804034,907,
7,46.12152958,3463.96092,906,
8,44.45949197,833.3905849,910,
9,45.30011249,929.3798208,910,
10,46.83453894,1915.570332,909,
11,45.55854583,885.8382726,909,
12,45.42676258,1068.013312,910,
13,45.81642222,1211.137024,910,
14,45.41240478,818.5035582,910,
15,47.71191621,876.4978774,910,
16,45.73992729,1020.157668,907,
17,46.91423869,1011.092461,907,
18,45.89743161,1818.709159,908,
19,45.23207831,1474.413446,908,
property_id,abstract_time,total_time,size,1_4
0,46.01087189,47.08486223,710,
1,46.32693982,1203.741798,910,
2,42.80101061,43.90721178,710,
3,42.76421595,43.83346891,710,
4,43.39793372,59.12555194,710,
5,45.39694285,46.47898793,710,
6,44.76627159,816.0863769,908,
7,44.76222801,45.85465646,710,
8,45.67896366,46.74258614,710,
9,44.56008172,988.8231454,910,
10,,3600,,
11,45.15692997,46.25348544,710,
12,45.18213892,61.24382401,710,
13,45.72796679,46.81290054,710,
14,46.30445194,62.47703385,710,
15,46.3433156,62.70156455,710,
16,46.38509846,47.47777867,710,
17,47.13574028,2232.505302,909,
18,45.53238177,46.6598196,710,
19,45.02824593,60.97994423,710,
property_id,abstract_time,total_time,size,1_5
0,43.83573627,44.90827966,710,
1,43.71166325,44.78133988,710,
2,43.78259873,44.88845205,710,
3,44.84940648,2545.837497,910,
4,45.73706937,845.7953176,910,
5,45.34135056,46.43119073,710,
6,44.68368864,60.90589333,710,
7,46.75720406,47.91188765,710,
8,45.30814743,46.42223048,710,
9,46.51565361,866.8902402,910,
10,45.20418835,3573.819337,910,
11,43.32616544,44.4094286,710,
12,43.2328217,44.32003427,710,
13,43.34563541,44.42029381,710,
14,44.75892663,45.8471756,710,
15,43.98671222,45.06092358,710,
16,43.84081602,44.94941878,710,
17,44.09597635,45.18146372,710,
18,43.99022102,45.06543469,710,
19,45.27621555,46.35772705,710,
property_id,abstract_time,total_time,size,1_6
0,47.84325147,64.43986654,710,
1,45.00734091,46.08285451,710,
2,44.5698483,845.1330402,910,
3,45.69495487,46.78513956,710,
4,46.73239446,950.7940352,910,
5,45.44059277,46.51525497,710,
6,44.63361955,45.71803713,710,
7,46.11272383,62.63564205,710,
8,46.0973134,62.55580854,710,
9,45.60242105,46.68812442,710,
10,43.65198064,1616.39727,910,
11,44.34580779,2236.008916,908,
12,47.02203107,63.9600575,710,
13,45.86955476,1162.413804,910,
14,46.28146267,47.36421418,710,
15,44.3331449,45.42075086,710,
16,45.28441501,874.2941408,910,
17,44.45722222,45.53062797,710,
18,43.37850285,44.45068383,710,
19,42.70794058,43.81588793,710,
