property_id,abstract_time,total_time,size,1_1
3,18.05481569,2816.890587,910,
4,13.4331158,2011.910777,910,
5,18.24591496,1691.019769,722,
6,20.20870479,1533.618389,861,
7,20.0606897,2696.884752,708,
8,10.63170991,2010.017351,910,
9,9.007216275,1778.299225,831,
10,15.85457272,1740.441405,910,
11,14.88420084,1467.914247,910,
12,7.31579049,1471.499164,730,
13,20.42664271,1636.994786,910,
14,13.98984983,1230.634091,910,
15,17.54110794,1713.950355,910,
16,13.29589481,843.3864436,910,
17,17.49965655,1551.842754,910,
18,17.3268482,1382.744512,910,
19,13.04535559,2134.666908,910,
property_id,abstract_time,total_time,size,2_2
0,14.58833887,1751.907283,877,
1,15.80553953,1807.538016,821,
2,20.4422641,1620.641039,756,
3,14.98174826,2480.752728,826,
4,11.81797516,1476.915033,910,
5,20.06400822,2096.013189,910,
6,8.961082435,1749.730092,910,
7,,3600,,
8,13.96040525,1478.644854,910,
9,14.23261323,1343.47381,910,
10,,3600,,
11,,3600,,
12,,3600,,
13,17.12793849,1717.33515,766,
14,13.75426573,1952.957812,910,
15,13.42319711,1612.52701,863,
16,16.0052896,1140.425282,910,
17,12.78030882,1775.451159,910,
18,14.30225286,2149.373239,754,
19,,3600,,
property_id,abstract_time,total_time,size,2_3
0,16.6380375,1734.733565,863,
1,11.463046,1595.686772,910,
2,14.26505303,1761.977194,887,
3,13.67306287,2146.194777,878,
4,13.63543906,1605.859667,896,
5,16.09435283,1670.523321,910,
6,16.74954554,1445.491703,910,
7,,3600,,
8,11.1987458,1581.100133,910,
9,14.75236878,1731.335668,910,
10,13.64823332,2133.204304,808,
11,14.44054626,1604.568465,892,
12,14.2172931,1851.617994,848,
13,22.94543423,1671.308272,910,
14,19.09383558,1348.873448,910,
15,17.09824656,1680.986976,910,
16,22.1265316,3074.510745,910,
17,17.73430929,1695.922038,882,
18,14.31723507,1532.223936,900,
19,,3600,,
property_id,abstract_time,total_time,size,2_4
0,20.89416786,2046.697503,910,
1,,3600,,
2,11.84782107,1546.360016,756,
3,,3600,,
4,15.6407361,1861.194883,910,
5,22.55562437,2093.686925,837,
6,20.27316808,2247.328301,910,
7,,3600,,
8,15.59530755,1730.408167,827,
9,17.11352091,1647.20995,673,
10,17.690034,2197.504519,782,
11,,3600,,
12,13.08872235,1274.192927,910,
13,13.85955466,2487.576425,910,
14,17.36037642,1371.989872,861,
15,14.38589634,1364.765453,910,
16,13.40358748,1680.91792,875,
17,18.28432998,1540.042702,602,
18,12.22826469,1576.650524,910,
19,,3600,,
property_id,abstract_time,total_time,size,2_5
0,16.36310587,1715.262894,887,
1,14.33708952,1850.271581,870,
2,16.90313913,1439.536779,910,
3,16.64154831,1881.520444,910,
4,15.30998933,1613.966776,910,
5,,3600,,
6,21.46321444,1672.557033,816,
7,,3600,,
8,14.73389768,1488.620963,910,
9,13.52978568,1530.602112,910,
10,14.39290405,3340.896657,910,
11,25.27690122,1662.831341,870,
12,,3600,,
13,16.75212647,1852.640871,893,
14,13.27726157,2017.6106,885,
15,15.72610237,1609.448505,910,
16,,3600,,
17,18.42269262,2940.890023,903,
18,12.80566915,2224.25744,874,
19,,3600,,
property_id,abstract_time,total_time,size,2_6
0,,3600,,
1,10.42806365,2160.862645,785,
2,12.52403523,1808.817143,777,
3,19.46122015,2092.892423,901,
4,16.83458788,1608.711601,910,
5,,3600,,
6,18.53746335,2089.555766,873,
7,,3600,,
8,12.67057676,2155.258134,910,
9,11.8635666,1384.990681,814,
10,,3600,,
11,9.19921272,1683.690363,910,
12,11.42535719,1686.256971,643,
13,,3600,,
14,18.03697872,1516.561243,835,
15,13.10449387,1616.764698,684,
16,19.15946672,1664.093278,747,
17,21.50929933,1879.249387,830,
18,17.35673009,1689.454061,808,
19,18.78025025,2208.239837,910,
property_id,abstract_time,total_time,size,2_7
0,15.76532975,2042.477621,910,
1,13.27615997,986.6036301,810,
2,19.97715549,1829.219818,878,
3,,3600,,
4,19.9685851,1654.449108,910,
5,,3600,,
6,16.48311919,1620.905116,910,
7,15.14583356,2761.963621,910,
8,19.20767212,1857.609433,793,
9,13.96773449,2505.943727,871,
10,,3600,,
11,17.16930018,1485.627976,875,
12,,3600,,
13,,3600,,
14,19.23812684,1590.433093,843,
15,14.51997709,1581.422949,910,
16,,3600,,
17,19.85879768,2376.214323,910,
18,17.7951332,2258.427144,910,
19,16.63408675,1443.049039,789,
property_id,abstract_time,total_time,size,2_8
0,11.43191121,1459.964597,846,
1,12.07229883,1685.549478,910,
2,14.4233371,1315.578338,910,
3,,3600,,
4,16.48200309,2084.374554,861,
5,16.95593437,2274.022245,859,
6,16.6502121,1611.301606,850,
7,15.25053086,2978.896227,905,
8,14.12678659,1319.36242,910,
9,13.43469208,1302.040537,910,
10,22.5105274,2833.275236,823,
11,,3600,,
12,16.97306632,2248.591554,910,
13,15.10777803,2765.291854,736,
14,16.26682674,1421.586083,910,
15,15.09561546,1406.114868,910,
16,21.68191579,2478.66115,910,
17,20.43387652,2181.096027,910,
18,,3600,,
19,,3600,,
property_id,abstract_time,total_time,size,2_9
0,19.14042385,2272.813514,910,
1,11.99847393,1537.219509,840,
2,17.0439432,1779.536255,800,
3,17.14908066,1667.673303,876,
4,15.99578321,2387.017844,850,
5,18.9603311,2062.954437,880,
6,14.66364388,1679.894243,910,
7,17.78285213,20.48010338,910,
8,13.03644251,1533.074155,773,
9,16.03296628,2066.279104,910,
10,18.35638382,2700.82014,897,
11,13.76050599,1549.847787,889,
12,14.07501471,2643.301407,861,
13,12.75576691,2906.979752,797,
14,12.33821659,1468.94748,715,
15,19.96559654,1739.476267,910,
16,12.06736465,1855.188861,905,
17,,3600,,
18,13.85226886,1772.82704,893,
19,,3600,,
property_id,abstract_time,total_time,size,3_1
0,9.592272634,15.01411296,741,
1,17.87374163,1187.829718,910,
2,13.88294921,1905.682226,893,
3,17.7166608,2241.964276,796,
4,18.80778049,856.070793,826,
5,19.2769644,2000.284284,885,
6,21.05378363,1458.954963,818,
7,,3600,,
8,15.6649685,1701.462197,910,
9,13.86570405,1330.054405,767,
10,11.56362868,1083.363513,910,
11,16.7420791,1569.013187,910,
12,15.34547777,1539.228311,910,
13,20.15054642,1443.194809,828,
14,12.90173423,1619.325847,908,
15,21.16399011,989.659199,851,
16,19.50235445,36.94242462,765,
17,13.76658019,1386.900878,910,
18,18.99975452,933.9391284,910,
19,10.61634618,1311.172992,841,
property_id,abstract_time,total_time,size,3_2
0,11.5514973,1587.093093,910,
1,18.8594654,1635.856789,910,
2,14.72776888,975.9953476,910,
3,,3600,,
4,14.18301551,19.27011045,775,
5,10.5613874,1753.119047,898,
6,19.23763422,1646.616455,879,
7,,3600,,
8,15.41533217,1813.055263,910,
9,13.0762966,939.078214,910,
10,,3600,,
11,10.77140254,1493.412495,910,
12,16.89929604,3074.500528,679,
13,12.01516269,948.3442169,910,
14,16.83882476,1386.62634,810,
15,13.00879994,1553.398169,910,
16,19.46761357,65.0268422,792,
17,17.06114259,1374.936322,910,
