property_id,abstract_time,total_time,size,1_1
0,0,0.944332361,310,
1,0,0.966966867,310,
2,0,1.151116371,310,
3,1.829482079,2.04770422,121,
4,0,1.022493362,310,
5,0,0.900686264,310,
6,0,1.084707737,310,
7,3.184228182,17.65992022,215,
8,0,0.834649563,310,
9,0,1.006533623,310,
10,2.412036419,3.980240583,168,
11,0,0.993592024,310,
12,0,1.152662039,310,
13,0,1.014845848,310,
14,0,0.935404778,310,
15,0,0.858588457,310,
16,0,0.805281639,310,
17,0,0.784065485,310,
18,0,0.794096231,310,
19,1.80129981,2.433798313,149,
property_id,abstract_time,total_time,size,1_2
0,1.874433279,2.006498337,105,
1,0,1.111969233,310,
2,0,1.258407831,310,
3,1.886193275,2.484494925,157,
4,0,1.331749439,310,
5,1.966516256,3.220171928,149,
6,0,1.530189991,310,
7,1.828550577,5.384531975,161,
8,0,1.134865999,310,
9,1.781160831,2.926108837,134,
10,2.364323139,7.307483196,189,
11,0,1.167827368,310,
12,1.785683632,2.529379845,123,
13,1.782714128,1.855087042,94,
14,0,1.383891821,310,
15,0,1.188948631,310,
16,1.61964488,1.773457766,104,
17,0,1.066956997,310,
18,0,1.11967063,310,
19,0,1.345492363,310,
property_id,abstract_time,total_time,size,1_3
0,2.451654434,2.643964291,132,
1,0,1.314052105,310,
2,0,1.257245302,310,
3,2.511968374,2.781603336,138,
4,0,1.219954252,310,
5,2.238627672,3.015153646,142,
6,0,1.135182619,310,
7,3.863509655,18.48361754,217,
8,2.365004301,2.515646458,137,
9,0,1.299964666,310,
10,2.222703934,23.48998141,199,
11,0,1.617883921,310,
12,2.145265341,4.604124308,190,
13,0,1.274501324,310,
14,0,1.492474794,310,
15,0,1.246631861,310,
16,2.971091986,5.288203955,151,
17,0,1.224766016,310,
18,2.104456425,2.647613764,141,
19,2.041626215,3.924162626,188,
property_id,abstract_time,total_time,size,1_4
0,0,1.426254034,310,
1,2.333052158,2.67868638,139,
2,0,1.713859797,310,
3,3.004165649,22.38038659,206,
4,0,1.598536253,310,
5,2.374025822,2.615899086,122,
6,0,1.279366732,310,
7,2.173247099,4.7652812,183,
8,2.627370358,4.724649429,156,
9,2.899791002,3.460578203,150,
10,2.292407274,28.28485799,191,
11,0,1.259660721,310,
12,2.234662056,2.395147085,123,
13,0,1.522590876,310,
14,0,1.511990786,310,
15,0,1.488241911,310,
16,2.52555418,2.873194456,134,
17,2.479964733,3.829676628,163,
18,,3600,,
19,0,1.221267223,310,
property_id,abstract_time,total_time,size,1_5
0,0,1.060472488,310,
1,0,0.996735096,310,
2,0,1.015745878,310,
3,1.848978519,11.87782812,196,
4,0,1.203248739,310,
5,2.045065403,2.270627975,125,
6,0,0.979448557,310,
7,2.647186279,58.82261086,214,
8,2.124128819,2.450932503,153,
9,0,1.091414213,310,
10,2.508250713,19.43401003,174,
11,0,1.009100676,310,
12,2.08243084,2.398459911,141,
13,0,1.026069164,310,
14,0,1.224833965,310,
15,0,1.058570862,310,
16,1.871175766,2.036798,126,
17,1.717474461,1.818873405,110,
18,2.065817595,2.242400885,124,
19,1.650756598,1.995607615,122,
property_id,abstract_time,total_time,size,1_6
0,0,1.225416422,310,
1,0,1.247169733,310,
2,0,1.069924593,310,
3,0,1.196027517,310,
4,0,1.098381758,310,
5,1.943078756,4.845071316,127,
6,0,1.18108058,310,
7,2.253017664,3.054618359,137,
8,0,1.364166975,310,
9,0,1.163439274,310,
10,1.983611584,2.219176054,134,
11,2.132202625,3.81435132,136,
12,1.688262224,2.006499529,138,
13,0,1.308739662,310,
14,0,1.075917244,310,
15,0,1.014304876,310,
16,,3600,,
17,0,1.174288511,310,
18,0,1.260085821,310,
19,1.734425783,1.767433167,111,
property_id,abstract_time,total_time,size,1_7
0,0,1.378110647,181,
1,0,1.364717484,161,
2,0,1.388972282,159,
3,0,1.931748152,363,
4,0,1.679298401,225,
5,0,1.787424326,228,
6,0,1.257388592,178,
7,0,1.873019218,328,
8,0,1.45682478,165,
9,0,1.63270998,253,
10,0,2.337543011,410,
11,0,1.477706194,177,
12,0,1.456328869,245,
13,0,1.766388893,270,
14,0,1.603527308,155,
15,0,1.462377071,170,
16,0,1.698238611,220,
17,0,1.457958937,216,
18,0,1.746758699,337,
