,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Narv[M],,,,,,,,,,,,,,,,,,,,,,,,,
total-time,51.0364191532,297.6906933784,2560.2280013561,496.6530880928,47.5709917545,1679.0571980476,352.8992595673,623.1919779778,377.6697320938,212.7752611637,835.5131549835,266.3837075233,235.703556776,492.2276148796,1232.726796627,666.6411726475,698.1844878197,731.1416540146,49.1452782154,610.612783432,365.1326501369,644.4400324821,159.8013349,891.5363514423,61.8998894691
query-time,0.0,66.64638328552246,2257.7122972011566,277.77762031555176,0.0,745.9159436225891,95.04124164581299,181.6035349369049,147.34029865264893,40.10783791542053,588.3164570331573,29.678742170333862,51.12059473991394,236.31510496139526,276.6435124874115,380.98947834968567,385.54411363601685,179.54421067237854,0.0,151.4884479045868,73.27709794044495,130.5506386756897,23.87433934,81.09953141212463,0.0
size,374,118,577,106,382,312,155,216,149,120,107,78,131,127,220,94,160,195,244,179,148,157,54,91,406
Marabou,,,,,,,,,,,,,,,,,,,,,,,,,
total-time,1113.8247687817,809.2536838055,2100.3674554825,843.8910732269,898.7929286957,1508.9603779316,844.9097161293,1078.7804920673,1287.4237530231,819.686085701,643.4272603989,936.4591929913,830.3795681,2612.6965513229,1442.1676068306,2734.7956411839,1935.3468294144,979.8332912922,748.0751628876,862.6436340809,709.2498693466,1012.8739218712,816.9942610264,3254.5306048393,1063.8950664997
