,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Narv[M],,,,,,,,,,,,,,,,,,,,,,,,,
total-time,61.3699860573,377.2959716,72.1509335041,,61.6624236107,36000,4940.5268149376,36000,2263.7777500153,409.1098389626,585.7126677036,229.5919158459,312.4761667252,6638.2880830765,36000,1570.8757703304,247.6190047264,36000,44.1081953049,12708.3276650906,14668.5154500008,519.2256660461,136.5377826691,3458.2444489002,56.3215327263
query-time,0.0,179.2715399,0.0,,0.0,36000,4665.33703827858,36000,1969.4607541561127,203.7837794,334.4338688850403,15.453707695007324,109.89626,6402.578504562378,36000,1304.2220449447632,8.830940246582031,36000,0.0,12288.690154314041,14412.698626756668,121.87182569503784,8.7671537399292,2713.6833,0.0
size,374,148,676,,382,,155,,137,188,107,78,137,127,,94,160,,244,151,148,157,70,174,406
Marabou,,,,,,,,,,,,,,,,,,,,,,,,,
total-time,36000,36000,36000,,36000,36000,36000,36000,36000,13745.634799242,91.1279568672,4560.3707203865,36000,18161.7545013428,36000,13100.8410277367,21198.2988483906,36000,36000,36000,36000,36000,313.0360414982,36000,36000
