Total-time,1,2,3,4,5,6,7,8,9,10,11,12
narv+planet,185.4439,4246.06652,4070.14874,179.15528,4119.10635,2081.93539,170.82479,6077.68817,3849.0692,23186.10742,4305.1113,9840.2551
planet,5678.18451,7573.52163,7500.09842,9318.65696,8036.16323,4686.38872,4760.27381,11778.55055,9003.86342,8305.18572,9422.34651,17740.42041
