Total-time,1,2,3,4,5,6,7,8,9,10,11,12
narv+marabou,168.28161,168.10131,185.04184,176.17907,186.72625,198.70455,170.52051,178.70197,187.4296,3608.45646,216.90227,206.53307
marabou,241.67113,266.02015,154.58999,132.72523,2368.87144,174.92028,285.74565,1895.46423,407.53864,5225.74972,426.74954,697.00422
