property_id,network_id,property_id,abstract_time,total_time
5,5_7,5,,3600
6,5_7,6,13.87248395,1534.604718
7,5_7,7,13.5739929,2671.687132
8,5_7,8,,3600
9,5_7,9,,3600
10,5_7,10,,3600
11,5_7,11,,3600
12,5_7,12,,3600
13,5_7,13,12.52731826,2237.838356
14,5_7,14,13.04936054,1516.145206
15,5_7,15,,3600
16,5_7,16,16.79385744,1478.088761
17,5_7,17,,3600
18,5_7,18,,3600
19,5_7,19,17.17683423,2960.067799
property_id,network_id,property_id,abstract_time,total_time
0,5_8,0,,3600
1,5_8,1,,3600
2,5_8,2,,3600
3,5_8,3,,3600
4,5_8,4,18.09338201,3185.876471
5,5_8,5,,3600
6,5_8,6,,3600
7,5_8,7,,3600
8,5_8,8,,3600
9,5_8,9,,3600
10,5_8,10,,3600
11,5_8,11,,3600
12,5_8,12,,3600
13,5_8,13,,3600
14,5_8,14,,3600
15,5_8,15,,3600
16,5_8,16,,3600
17,5_8,17,,3600
18,5_8,18,,3600
19,5_8,19,,3600
property_id,network_id,property_id,abstract_time,total_time
0,5_9,0,,3600
1,5_9,1,,3600
2,5_9,2,,3600
3,5_9,3,,3600
4,5_9,4,16.98249631,1340.016462
5,5_9,5,,3600
6,5_9,6,17.56268722,2145.537102
7,5_9,7,,3600
8,5_9,8,,3600
9,5_9,9,,3600
10,5_9,10,,3600
11,5_9,11,,3600
12,5_9,12,,3600
13,5_9,13,,3600
14,5_9,14,9.52699846,2818.247619
15,5_9,15,,3600
16,5_9,16,11.28611713,3223.26288
17,5_9,17,,3600
18,5_9,18,,3600
19,5_9,19,,3600
