property_id,network_id,property_id,abstract_time,total_time
17,1_3,17,,3600
18,1_3,18,,3600
19,1_3,19,,3600
property_id,network_id,property_id,abstract_time,total_time
0,1_4,0,,3600
1,1_4,1,,3600
2,1_4,2,12.80413228,31.00512717
3,1_4,3,,3600
4,1_4,4,13.49078074,776.5632236
5,1_4,5,19.74776461,2546.750685
6,1_4,6,18.45681935,57.85055031
7,1_4,7,,3600
8,1_4,8,15.63382394,1699.786594
9,1_4,9,19.54016419,628.621213
10,1_4,10,,3600
11,1_4,11,,3600
12,1_4,12,,3600
13,1_4,13,18.96877521,1012.683171
14,1_4,14,16.64953593,972.466375
15,1_4,15,15.89432727,1609.084819
16,1_4,16,21.50278266,664.6262619
17,1_4,17,,3600
18,1_4,18,,3600
19,1_4,19,16.57612237,1386.130645
property_id,network_id,property_id,abstract_time,total_time
0,1_5,0,,3600
1,1_5,1,16.05534798,2197.631048
2,1_5,2,17.36513076,505.0767092
3,1_5,3,13.89058663,2985.140493
4,1_5,4,10.27155986,709.2067377
5,1_5,5,19.10948549,1196.503614
6,1_5,6,8.285895245,1033.615292
7,1_5,7,,3600
8,1_5,8,12.44257632,1537.627965
9,1_5,9,,3600
10,1_5,10,14.07523695,2477.338326
11,1_5,11,,3600
12,1_5,12,,3600
13,1_5,13,17.11284304,1581.504896
14,1_5,14,15.56349597,1325.272876
15,1_5,15,,3600
16,1_5,16,17.79781029,505.049348
17,1_5,17,,3600
18,1_5,18,,3600
19,1_5,19,22.45057472,618.5620859
property_id,network_id,property_id,abstract_time,total_time
0,1_6,0,,3600
1,1_6,1,23.53873314,2722.485609
2,1_6,2,12.782609,1427.917551
3,1_6,3,17.92604945,547.2240275
4,1_6,4,14.67625427,1581.014884
5,1_6,5,12.88812355,1121.84966
6,1_6,6,14.28589306,1107.636352
7,1_6,7,,3600
8,1_6,8,,3600
9,1_6,9,,3600
10,1_6,10,,3600
11,1_6,11,,3600
12,1_6,12,,3600
13,1_6,13,,3600
14,1_6,14,14.83571361,25.15792106
15,1_6,15,,3600
16,1_6,16,21.02285949,1931.196302
17,1_6,17,,3600
18,1_6,18,,3600
19,1_6,19,17.53078451,1607.742196
property_id,network_id,property_id,abstract_time,total_time
0,1_7,0,19.49766272,21.64164102
1,1_7,1,16.77751513,18.42273854
2,1_7,2,18.03149848,20.02298021
3,1_7,3,11.88427802,14.34563219
4,1_7,4,14.4775537,17.7620735
5,1_7,5,16.095818,18.89609856
6,1_7,6,13.43153925,15.40500109
7,1_7,7,12.7823656,15.25140941
8,1_7,8,11.82995873,14.18324533
9,1_7,9,21.96206571,23.34230098
10,1_7,10,12.87528872,14.94586464
11,1_7,11,19.11147336,21.81997631
12,1_7,12,12.20318264,14.33675017
13,1_7,13,16.73827255,19.87454049
14,1_7,14,13.56808189,16.27137537
15,1_7,15,16.16902807,18.19099432
16,1_7,16,14.66595244,16.1300698
17,1_7,17,13.29784952,15.72690512
18,1_7,18,13.12539761,14.82149452
19,1_7,19,15.72150087,18.38595442
property_id,network_id,property_id,abstract_time,total_time
0,1_8,0,,3600
1,1_8,1,17.19852354,828.3817308
2,1_8,2,,3600
3,1_8,3,15.33320588,979.0802485
4,1_8,4,18.69165269,582.7787825
5,1_8,5,22.36363151,1715.030388
6,1_8,6,19.11466661,564.335487
7,1_8,7,,3600
8,1_8,8,16.92925451,651.9642088
9,1_8,9,,3600
10,1_8,10,,3600
11,1_8,11,18.28227631,71.21127276
12,1_8,12,,3600
13,1_8,13,12.12195191,1541.689601
14,1_8,14,,3600
15,1_8,15,15.63421535,3513.248116
16,1_8,16,17.69196493,2258.923861
17,1_8,17,,3600
18,1_8,18,,3600
19,1_8,19,16.22464525,1128.538739
property_id,network_id,property_id,abstract_time,total_time
0,1_9,0,,3600
1,1_9,1,,3600
2,1_9,2,,3600
3,1_9,3,,3600
4,1_9,4,17.95051809,1565.025923
5,1_9,5,14.93789967,1236.581391
6,1_9,6,18.19025911,2492.668058
7,1_9,7,,3600
8,1_9,8,18.59036606,2548.494177
9,1_9,9,,3600
10,1_9,10,,3600
11,1_9,11,,3600
12,1_9,12,16.99313159,2805.907176
13,1_9,13,18.98543127,1435.563578
14,1_9,14,16.54227022,1118.86066
15,1_9,15,,3600
16,1_9,16,11.6915245,1974.456922
17,1_9,17,,3600
18,1_9,18,,3600
19,1_9,19,,3600
property_id,network_id,property_id,abstract_time,total_time
0,2_1,0,,3600
1,2_1,1,11.91884535,1620.127235
2,2_1,2,20.45742203,1422.653657
3,2_1,3,15.64487185,3179.921419
4,2_1,4,12.8530255,1766.853889
5,2_1,5,,3600
6,2_1,6,13.78645309,1962.407904
7,2_1,7,,3600
8,2_1,8,,3600
9,2_1,9,13.41651343,3471.004469
10,2_1,10,15.55774527,2343.705643
11,2_1,11,,3600
12,2_1,12,12.32394469,1541.752548
13,2_1,13,15.42951332,1640.952253
14,2_1,14,13.86580518,1308.269633
15,2_1,15,,3600
16,2_1,16,14.20853436,1585.608711
17,2_1,17,,3600
18,2_1,18,,3600
19,2_1,19,19.1105013,2171.564388
property_id,network_id,property_id,abstract_time,total_time
0,2_2,0,,3600
1,2_2,1,,3600
2,2_2,2,,3600
3,2_2,3,,3600
4,2_2,4,15.77204318,1568.963274
5,2_2,5,17.22949516,1907.380292
6,2_2,6,18.45560935,2136.184131
7,2_2,7,,3600
8,2_2,8,,3600
9,2_2,9,,3600
10,2_2,10,,3600
11,2_2,11,,3600
12,2_2,12,,3600
13,2_2,13,16.00978487,1743.729143
14,2_2,14,,3600
15,2_2,15,,3600
16,2_2,16,16.53716019,2910.954247
17,2_2,17,,3600
18,2_2,18,,3600
19,2_2,19,,3600
property_id,network_id,property_id,abstract_time,total_time
0,2_3,0,,3600
1,2_3,1,16.0753364,1408.465546
2,2_3,2,,3600
3,2_3,3,,3600
4,2_3,4,9.593521089,1801.927245
5,2_3,5,14.84134869,2744.867123
6,2_3,6,11.28602949,2833.78013
7,2_3,7,16.30179566,3038.842378
8,2_3,8,19.23545182,2374.886992
9,2_3,9,19.87998531,3393.104916
10,2_3,10,,3600
11,2_3,11,,3600
12,2_3,12,,3600
13,2_3,13,15.92225149,3212.755295
14,2_3,14,11.87321339,2478.57612
15,2_3,15,,3600
16,2_3,16,11.49573213,1636.945929
17,2_3,17,,3600
18,2_3,18,,3600
19,2_3,19,14.36659855,3350.064331
property_id,network_id,property_id,abstract_time,total_time
0,2_4,0,,3600
1,2_4,1,,3600
2,2_4,2,11.8725443,3432.687479
3,2_4,3,14.9983867,3185.949625
4,2_4,4,19.77182893,2082.297503
5,2_4,5,,3600
6,2_4,6,,3600
7,2_4,7,,3600
8,2_4,8,16.79620879,1698.024978
9,2_4,9,,3600
10,2_4,10,,3600
11,2_4,11,,3600
12,2_4,12,,3600
13,2_4,13,12.15000398,2025.494209
14,2_4,14,16.56684126,2593.205039
15,2_4,15,,3600
16,2_4,16,,3600
17,2_4,17,,3600
18,2_4,18,,3600
19,2_4,19,,3600
property_id,network_id,property_id,abstract_time,total_time
0,2_5,0,,3600
1,2_5,1,17.33256856,1609.999311
2,2_5,2,18.32234434,2899.109069
3,2_5,3,,3600
4,2_5,4,,3600
5,2_5,5,,3600
6,2_5,6,14.14666437,3506.735645
7,2_5,7,,3600
8,2_5,8,,3600
9,2_5,9,,3600
10,2_5,10,,3600
11,2_5,11,,3600
12,2_5,12,,3600
13,2_5,13,,3600
14,2_5,14,,3600
15,2_5,15,,3600
16,2_5,16,,3600
17,2_5,17,,3600
18,2_5,18,,3600
19,2_5,19,14.00056965,2055.506791
property_id,network_id,property_id,abstract_time,total_time
0,2_6,0,,3600
1,2_6,1,,3600
2,2_6,2,,3600
3,2_6,3,,3600
4,2_6,4,12.98557755,3533.272654
5,2_6,5,19.571921,1615.053125
6,2_6,6,,3600
7,2_6,7,,3600
8,2_6,8,,3600
9,2_6,9,,3600
10,2_6,10,,3600
11,2_6,11,,3600
12,2_6,12,,3600
13,2_6,13,,3600
14,2_6,14,12.14986611,1798.487519
15,2_6,15,,3600
16,2_6,16,20.05727658,1258.893455
17,2_6,17,,3600
18,2_6,18,,3600
19,2_6,19,,3600
property_id,network_id,property_id,abstract_time,total_time
0,2_7,0,,3600
1,2_7,1,,3600
2,2_7,2,,3600
3,2_7,3,,3600
4,2_7,4,,3600
5,2_7,5,,3600
6,2_7,6,,3600
7,2_7,7,,3600
8,2_7,8,12.63260551,2414.128884
9,2_7,9,,3600
10,2_7,10,,3600
11,2_7,11,,3600
12,2_7,12,,3600
13,2_7,13,,3600
14,2_7,14,,3600
15,2_7,15,,3600
16,2_7,16,20.19053738,1318.447259
17,2_7,17,,3600
18,2_7,18,,3600
19,2_7,19,,3600
property_id,network_id,property_id,abstract_time,total_time
0,2_8,0,,3600
1,2_8,1,,3600
2,2_8,2,18.05749747,3344.284131
3,2_8,3,,3600
4,2_8,4,16.02462076,2282.677604
5,2_8,5,16.30873605,1744.532005
6,2_8,6,11.44616812,2309.32645
7,2_8,7,,3600
8,2_8,8,,3600
9,2_8,9,,3600
10,2_8,10,,3600
11,2_8,11,,3600
12,2_8,12,,3600
13,2_8,13,18.10712835,2095.674981
14,2_8,14,18.0523423,1717.999305
15,2_8,15,,3600
16,2_8,16,9.899083516,1881.943048
17,2_8,17,,3600
18,2_8,18,,3600
19,2_8,19,,3600
property_id,network_id,property_id,abstract_time,total_time
0,2_9,0,,3600
1,2_9,1,,3600
2,2_9,2,10.49155799,1450.547664
3,2_9,3,,3600
4,2_9,4,12.20018374,1568.395836
5,2_9,5,15.03883306,2934.500225
6,2_9,6,17.9645643,1392.695839
7,2_9,7,16.60659517,1937.550997
8,2_9,8,19.99356345,1729.12479
9,2_9,9,,3600
10,2_9,10,,3600
11,2_9,11,,3600
12,2_9,12,,3600
13,2_9,13,21.60841289,1534.138206
14,2_9,14,19.98787451,1672.077141
15,2_9,15,,3600
16,2_9,16,17.19618665,1490.991307
17,2_9,17,,3600
18,2_9,18,,3600
19,2_9,19,12.52053884,2409.023831
property_id,network_id,property_id,abstract_time,total_time
0,3_1,0,,3600
1,3_1,1,,3600
2,3_1,2,16.35307476,1654.601799
3,3_1,3,,3600
4,3_1,4,15.86876523,864.9987559
5,3_1,5,16.45179786,1339.507511
6,3_1,6,17.84261835,42.02482092
7,3_1,7,19.61429779,2324.066158
8,3_1,8,19.93868016,1075.661835
9,3_1,9,,3600
10,3_1,10,18.79855093,2253.084723
11,3_1,11,,3600
12,3_1,12,,3600
13,3_1,13,15.78457689,1913.532721
14,3_1,14,17.96433272,1794.417564
15,3_1,15,12.59544122,1294.482516
16,3_1,16,12.2500391,2136.84884
17,3_1,17,,3600
18,3_1,18,,3600
19,3_1,19,14.54392684,1526.102983
property_id,network_id,property_id,abstract_time,total_time
0,3_2,0,16.60858641,726.3515429
1,3_2,1,17.82721889,3278.59035
2,3_2,2,14.04139569,2429.910193
3,3_2,3,,3600
4,3_2,4,17.85648647,1864.737067
5,3_2,5,25.52854663,1643.326299
6,3_2,6,12.55538438,2524.095716
7,3_2,7,,3600
8,3_2,8,,3600
9,3_2,9,,3600
10,3_2,10,9.046966971,2733.718539
11,3_2,11,,3600
12,3_2,12,,3600
13,3_2,13,15.66762512,2549.40449
14,3_2,14,,3600
15,3_2,15,15.26005419,708.1806813
16,3_2,16,15.8632213,1379.291816
17,3_2,17,,3600
18,3_2,18,,3600
19,3_2,19,,3600
property_id,network_id,property_id,abstract_time,total_time
0,3_3,0,,3600
1,3_3,1,15.79208509,1606.454557
2,3_3,2,18.91762927,1966.068896
3,3_3,3,,3600
4,3_3,4,18.30042306,1492.555885
5,3_3,5,12.39992628,1488.945108
6,3_3,6,20.22969815,1811.337204
7,3_3,7,15.58902816,1246.691144
