Total-time,1,2,3,4,5,6,7,8,9,10,11,12
narv+marabou,478.16652,386.07383,36000,400.38029,355.59826,489.79385,36000,376.63162,413.83441,36000,36000,36000
marabou,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000
