property_id,abstract_time,total_time,size,1_1
0,,3600,,
1,42.07582951,934.2839572,910,
2,,3600,,
3,42.36332512,1589.778036,910,
4,,3600,,
5,41.60336661,2481.663231,909,
6,41.54172277,1247.375822,910,
7,,3600,,
8,43.29447317,3103.253043,910,
9,,3600,,
10,41.70626044,1129.369086,909,
11,,3600,,
12,39.79782605,889.7721405,910,
13,,3600,,
14,42.98535943,1554.514747,910,
15,,3600,,
16,,3600,,
17,42.9058888,1192.331845,910,
18,,3600,,
19,,3600,,
property_id,abstract_time,total_time,size,2_5
0,,3600,,
1,,3600,,
2,,3600,,
3,42.81708431,887.2507033,907,
4,,3600,,
5,41.53437972,1445.927928,905,
6,0,2.217214346,910,
7,,3600,,
8,,3600,,
9,,3600,,
10,42.68334222,1717.150153,910,
11,,3600,,
12,,3600,,
13,,3600,,
14,,3600,,
15,,3600,,
16,,3600,,
17,,3600,,
18,,3600,,
19,,3600,,
property_id,abstract_time,total_time,size,2_6
0,,3600,,
1,,3600,,
2,,3600,,
3,42.69486284,1759.43772,910,
4,,3600,,
5,,3600,,
6,0,2.194892645,910,
7,,3600,,
8,,3600,,
9,,3600,,
10,40.85344315,1676.888593,910,
11,,3600,,
12,,3600,,
13,,3600,,
14,,3600,,
15,,3600,,
16,,3600,,
17,41.31112862,1055.460697,909,
18,,3600,,
19,,3600,,
property_id,abstract_time,total_time,size,2_7
0,,3600,,
1,,3600,,
2,,3600,,
3,39.91850519,1007.750897,910,
4,,3600,,
5,42.82998347,3233.28673,909,
6,,3600,,
7,,3600,,
8,,3600,,
9,,3600,,
10,,3600,,
11,,3600,,
12,,3600,,
13,,3600,,
14,,3600,,
15,,3600,,
16,,3600,,
17,42.59456229,1774.653413,910,
18,,3600,,
19,40.8237803,1307.864197,910,
property_id,abstract_time,total_time,size,2_8
0,,3600,,
1,43.44097281,2926.991054,910,
2,,3600,,
3,43.46532774,819.6098046,910,
4,,3600,,
5,,3600,,
6,0,2.418348551,910,
7,,3600,,
8,41.54535198,1163.274612,910,
9,41.78831172,2055.018382,910,
10,42.8971653,2138.555723,905,
11,,3600,,
12,,3600,,
13,42.14893651,2198.668882,906,
14,,3600,,
15,,3600,,
16,,3600,,
17,42.93441534,1015.538462,910,
18,,3600,,
19,43.4949708,978.4019892,901,
property_id,abstract_time,total_time,size,2_9
0,,3600,,
1,,3600,,
2,,3600,,
3,43.3954916,2168.766816,910,
4,,3600,,
5,,3600,,
