Total-time,1,2,3,4,5,6,7,8,9,10,11,12
narv+planet,336.22412,36000,36000,522.69054,36000,19767.02398,14992.63199,36000,32238.02196,36000,36000,22413.15092
planet,36000,36000,36000,36000,36000,30129.45958,23064.57689,36000,36000,36000,36000,36000
