Total-time,1,2,3,4,5,6,7,8,9,10,11,12
narv+marabou,236.23561,2131.12441,366.65121,190.50628,5053.90596,413.25057,705.60567,2916.60611,208.0212,4353.12314,2829.5156,207.1529
marabou,1634.54642,4904.88544,4568.90418,2217.28745,36000,433.1349,3456.90789,6070.79001,4294.6805,5320.3671,3456.90789,10300.66869
