Total-time,1,2,3,4,5,6,7,8,9,10,11,12
narv+planet,291.77185,388.13564,36000,23092.07358,224.93111,248.83413,36000,293.81243,24625.014,36000,36000,36000
planet,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000
