Total-time,1,2,3,4,5,6,7,8,9,10,11,12
narv+marabou,219.67874,188.17288,36000,209.50707,225.38291,281.83623,5024.08044,200.48391,194.87309,36000,36000,36000
marabou,14384.31736,17879.59961,36000,36000,36000,10160.41989,11764.0037,36000,36000,36000,36000,36000
