Total-time,1,2,3,4,5,6,7,8,9,10,11,12
narv+marabou,284.01642,267.04706,2822.31153,225.64395,213.53576,277.33837,964.03592,261.97443,210.70332,2809.74048,6573.53536,4070.09139
marabou,1998.51432,5960.89282,18095.07209,8890.22737,7300.03404,3836.47547,3582.87441,5131.96555,15585.15568,12169.8237,6982.56047,16357.41657
