Total-time,1,2,3,4,5,6,7,8,9,10,11,12
narv+planet,286.54296,266.62615,36000,223.46248,221.71076,283.75164,6445.15994,256.51286,200.49314,36000,36000,36000
planet,19703.04163,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000
